id,Temperament
1,"Active, Energetic, Independent, Intelligent, Gentle"
2,"Affectionate, Social, Intelligent, Playful, Active"
3,"Intelligent, Interactive, Lively, Playful, Sensitive"
4,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social"
5,"Active, Curious, Easy Going, Playful, Calm"
6,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social"
7,"Affectionate, Agile, Curious, Independent, Playful, Loyal"
8,"Lively, Social, Fun-loving, Relaxed, Affectionate"
9,"Affectionate, Intelligent, Playful"
10,"Affectionate, Lively, Friendly, Intelligent"
11,"Alert, Agile, Energetic, Demanding, Intelligent"
12,"Affectionate, Active, Gentle, Social"
13,"Affectionate, Dependent, Gentle, Intelligent, Playful"
14,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social"
15,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm"
16,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively"
17,"Easy Going, Friendly, Intelligent, Lively, Playful, Social"
18,"Affectionate, Curious, Intelligent, Loyal, Social"
19,"Affectionate, Demanding, Interactive, Loyal"
20,"Affectionate, Loyal, Intelligent, Social, Lively, Playful"
21,"Affectionate, Intelligent, Playful, Social"
22,"Affectionate, Gentle, Intelligent, Social"
23,"Affectionate, Intelligent, Playful, Social"
24,"Affectionate, Intelligent, Active, Curious, Playful"
25,"Gentle, Loyal, Intelligent, Playful"
26,"Affectionate, Social"
27,"Highly interactive, Mischievous, Loyal, Social, Playful"
28,"Playful, affectionate, loyal, social"
29,"Intelligent, Friendly, Gentle, Loving, Loyal"
30,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful"
31,"Sweet, Affectionate, Loyal"
32,"Affectionate, Sweet, Loyal, Quiet, Peaceful"
33,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful"
34,"Dependent, Gentle, Intelligent, Quiet, Social"
35,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social"
36,"Active, Devoted, Intelligent, Playful"
37,"Calm, Relaxed, Talkative, Playful, Warm"
38,"Active, Loyal, highly intelligent, Expressive, Trainable"
39,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable"
40,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet"
41,"Adaptable, Intelligent, Loving, Gentle, Independent"
42,"Affectionate, Interactive, Playful, Social"
43,"Easy Going, Intelligent, Loyal, Playful, Social"
44,"Agile, Easy Going, Intelligent, Playful"
45,"Gentle, Quiet, Shy, Playful"
46,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious"
47,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social"
48,"Energetic, Affectionate, Intelligent, Social, Playful, Curious"
49,"Affectionate, loyal, Sedate, Quiet"
50,"Affectionate, Social, Intelligent, Loyal"
51,"Affectionate, Friendly, Gentle, Calm"
52,"Affectionate, Friendly, Gentle, Quiet, Easygoing"
53,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet"
54,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate"
55,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving"
56,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social"
57,"Active, Agile, Clever, Sociable, Loving, Energetic"
58,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate"
59,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal"
60,"Affectionate, Social, Intelligent, Sweet-tempered"
61,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal"
62,"Loyal, Inquisitive, Friendly, Quiet, Gentle"
63,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate"
64,"Playful, Social, Intelligent"
65,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social"
66,"Agile, Intelligent, Loyal, Playful, Energetic"
67,"Playful, Social, Intelligent, Curious, Friendly"
